PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=44.2 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=184 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=178 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=193 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=189 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=186 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=112 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=186 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=180 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=268 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=268 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=310 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=339 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=351 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=363 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=456 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=468 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=528 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=540 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=550 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=539 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=574 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=472 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=367 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=286 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=254 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=206 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=132 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=143 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=164 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=151 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=162 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=134 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=160 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=152 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=157 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=137 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=154 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=169 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=147 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=145 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=229 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=267 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=324 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=333 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=372 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=414 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=414 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=443 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=471 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=468 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=460 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=474 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=435 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=367 ms
64 bytes from 10.0.0.2: icmp_seq=77 ttl=64 time=362 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=276 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=174 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=171 ms
64 bytes from 10.0.0.2: icmp_seq=81 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=146 ms
64 bytes from 10.0.0.2: icmp_seq=83 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=156 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=136 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=148 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=138 ms
64 bytes from 10.0.0.2: icmp_seq=90 ttl=64 time=149 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=161 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=128 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=153 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=150 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=163 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=142 ms
64 bytes from 10.0.0.2: icmp_seq=97 ttl=64 time=155 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=167 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=168 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=144 ms
64 bytes from 10.0.0.2: icmp_seq=101 ttl=64 time=75.8 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=38.9 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=36.4 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=55.3 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=67.2 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=101 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=100 ms
64 bytes from 10.0.0.2: icmp_seq=108 ttl=64 time=97.5 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=104 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=118 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=115 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=201 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=300 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=320 ms
