PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=1 ttl=64 time=23.7 ms
64 bytes from 10.0.0.2: icmp_seq=2 ttl=64 time=140 ms
64 bytes from 10.0.0.2: icmp_seq=3 ttl=64 time=230 ms
64 bytes from 10.0.0.2: icmp_seq=4 ttl=64 time=324 ms
64 bytes from 10.0.0.2: icmp_seq=5 ttl=64 time=399 ms
64 bytes from 10.0.0.2: icmp_seq=6 ttl=64 time=396 ms
64 bytes from 10.0.0.2: icmp_seq=7 ttl=64 time=391 ms
64 bytes from 10.0.0.2: icmp_seq=8 ttl=64 time=420 ms
64 bytes from 10.0.0.2: icmp_seq=9 ttl=64 time=413 ms
64 bytes from 10.0.0.2: icmp_seq=10 ttl=64 time=419 ms
64 bytes from 10.0.0.2: icmp_seq=11 ttl=64 time=424 ms
64 bytes from 10.0.0.2: icmp_seq=12 ttl=64 time=436 ms
64 bytes from 10.0.0.2: icmp_seq=13 ttl=64 time=432 ms
64 bytes from 10.0.0.2: icmp_seq=14 ttl=64 time=445 ms
64 bytes from 10.0.0.2: icmp_seq=15 ttl=64 time=451 ms
64 bytes from 10.0.0.2: icmp_seq=16 ttl=64 time=514 ms
64 bytes from 10.0.0.2: icmp_seq=17 ttl=64 time=527 ms
64 bytes from 10.0.0.2: icmp_seq=18 ttl=64 time=541 ms
64 bytes from 10.0.0.2: icmp_seq=19 ttl=64 time=531 ms
64 bytes from 10.0.0.2: icmp_seq=20 ttl=64 time=544 ms
64 bytes from 10.0.0.2: icmp_seq=21 ttl=64 time=638 ms
64 bytes from 10.0.0.2: icmp_seq=22 ttl=64 time=634 ms
64 bytes from 10.0.0.2: icmp_seq=23 ttl=64 time=647 ms
64 bytes from 10.0.0.2: icmp_seq=24 ttl=64 time=644 ms
64 bytes from 10.0.0.2: icmp_seq=25 ttl=64 time=649 ms
64 bytes from 10.0.0.2: icmp_seq=26 ttl=64 time=719 ms
64 bytes from 10.0.0.2: icmp_seq=27 ttl=64 time=748 ms
64 bytes from 10.0.0.2: icmp_seq=28 ttl=64 time=770 ms
64 bytes from 10.0.0.2: icmp_seq=29 ttl=64 time=767 ms
64 bytes from 10.0.0.2: icmp_seq=30 ttl=64 time=764 ms
64 bytes from 10.0.0.2: icmp_seq=31 ttl=64 time=784 ms
64 bytes from 10.0.0.2: icmp_seq=32 ttl=64 time=772 ms
64 bytes from 10.0.0.2: icmp_seq=33 ttl=64 time=785 ms
64 bytes from 10.0.0.2: icmp_seq=34 ttl=64 time=782 ms
64 bytes from 10.0.0.2: icmp_seq=35 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=36 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=37 ttl=64 time=803 ms
64 bytes from 10.0.0.2: icmp_seq=38 ttl=64 time=809 ms
64 bytes from 10.0.0.2: icmp_seq=39 ttl=64 time=815 ms
64 bytes from 10.0.0.2: icmp_seq=40 ttl=64 time=812 ms
64 bytes from 10.0.0.2: icmp_seq=41 ttl=64 time=825 ms
64 bytes from 10.0.0.2: icmp_seq=42 ttl=64 time=787 ms
64 bytes from 10.0.0.2: icmp_seq=43 ttl=64 time=766 ms
64 bytes from 10.0.0.2: icmp_seq=44 ttl=64 time=775 ms
64 bytes from 10.0.0.2: icmp_seq=45 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=46 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=47 ttl=64 time=807 ms
64 bytes from 10.0.0.2: icmp_seq=48 ttl=64 time=739 ms
64 bytes from 10.0.0.2: icmp_seq=49 ttl=64 time=639 ms
64 bytes from 10.0.0.2: icmp_seq=50 ttl=64 time=596 ms
64 bytes from 10.0.0.2: icmp_seq=51 ttl=64 time=624 ms
64 bytes from 10.0.0.2: icmp_seq=52 ttl=64 time=646 ms
64 bytes from 10.0.0.2: icmp_seq=53 ttl=64 time=658 ms
64 bytes from 10.0.0.2: icmp_seq=54 ttl=64 time=697 ms
64 bytes from 10.0.0.2: icmp_seq=55 ttl=64 time=697 ms
64 bytes from 10.0.0.2: icmp_seq=56 ttl=64 time=726 ms
64 bytes from 10.0.0.2: icmp_seq=57 ttl=64 time=738 ms
64 bytes from 10.0.0.2: icmp_seq=58 ttl=64 time=775 ms
64 bytes from 10.0.0.2: icmp_seq=59 ttl=64 time=788 ms
64 bytes from 10.0.0.2: icmp_seq=60 ttl=64 time=801 ms
64 bytes from 10.0.0.2: icmp_seq=61 ttl=64 time=822 ms
64 bytes from 10.0.0.2: icmp_seq=62 ttl=64 time=850 ms
64 bytes from 10.0.0.2: icmp_seq=63 ttl=64 time=877 ms
64 bytes from 10.0.0.2: icmp_seq=64 ttl=64 time=914 ms
64 bytes from 10.0.0.2: icmp_seq=65 ttl=64 time=927 ms
64 bytes from 10.0.0.2: icmp_seq=66 ttl=64 time=964 ms
64 bytes from 10.0.0.2: icmp_seq=67 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=68 ttl=64 time=1004 ms
64 bytes from 10.0.0.2: icmp_seq=69 ttl=64 time=1114 ms
64 bytes from 10.0.0.2: icmp_seq=70 ttl=64 time=1142 ms
64 bytes from 10.0.0.2: icmp_seq=71 ttl=64 time=1179 ms
64 bytes from 10.0.0.2: icmp_seq=72 ttl=64 time=1209 ms
64 bytes from 10.0.0.2: icmp_seq=73 ttl=64 time=1236 ms
64 bytes from 10.0.0.2: icmp_seq=74 ttl=64 time=1298 ms
64 bytes from 10.0.0.2: icmp_seq=75 ttl=64 time=1318 ms
64 bytes from 10.0.0.2: icmp_seq=76 ttl=64 time=1331 ms
64 bytes from 10.0.0.2: icmp_seq=78 ttl=64 time=1376 ms
64 bytes from 10.0.0.2: icmp_seq=79 ttl=64 time=1386 ms
64 bytes from 10.0.0.2: icmp_seq=80 ttl=64 time=1424 ms
64 bytes from 10.0.0.2: icmp_seq=82 ttl=64 time=1429 ms
64 bytes from 10.0.0.2: icmp_seq=84 ttl=64 time=1446 ms
64 bytes from 10.0.0.2: icmp_seq=85 ttl=64 time=1426 ms
64 bytes from 10.0.0.2: icmp_seq=86 ttl=64 time=1423 ms
64 bytes from 10.0.0.2: icmp_seq=87 ttl=64 time=1435 ms
64 bytes from 10.0.0.2: icmp_seq=88 ttl=64 time=1416 ms
64 bytes from 10.0.0.2: icmp_seq=89 ttl=64 time=1420 ms
64 bytes from 10.0.0.2: icmp_seq=91 ttl=64 time=1418 ms
64 bytes from 10.0.0.2: icmp_seq=92 ttl=64 time=1375 ms
64 bytes from 10.0.0.2: icmp_seq=93 ttl=64 time=1396 ms
64 bytes from 10.0.0.2: icmp_seq=94 ttl=64 time=1342 ms
64 bytes from 10.0.0.2: icmp_seq=95 ttl=64 time=1315 ms
64 bytes from 10.0.0.2: icmp_seq=96 ttl=64 time=1293 ms
64 bytes from 10.0.0.2: icmp_seq=98 ttl=64 time=1226 ms
64 bytes from 10.0.0.2: icmp_seq=99 ttl=64 time=1182 ms
64 bytes from 10.0.0.2: icmp_seq=100 ttl=64 time=1155 ms
64 bytes from 10.0.0.2: icmp_seq=102 ttl=64 time=1158 ms
64 bytes from 10.0.0.2: icmp_seq=103 ttl=64 time=1150 ms
64 bytes from 10.0.0.2: icmp_seq=104 ttl=64 time=1146 ms
64 bytes from 10.0.0.2: icmp_seq=105 ttl=64 time=1167 ms
64 bytes from 10.0.0.2: icmp_seq=106 ttl=64 time=1148 ms
64 bytes from 10.0.0.2: icmp_seq=107 ttl=64 time=1161 ms
64 bytes from 10.0.0.2: icmp_seq=109 ttl=64 time=1163 ms
64 bytes from 10.0.0.2: icmp_seq=110 ttl=64 time=1166 ms
64 bytes from 10.0.0.2: icmp_seq=111 ttl=64 time=1155 ms
64 bytes from 10.0.0.2: icmp_seq=112 ttl=64 time=1167 ms
64 bytes from 10.0.0.2: icmp_seq=113 ttl=64 time=1154 ms
64 bytes from 10.0.0.2: icmp_seq=114 ttl=64 time=1143 ms
64 bytes from 10.0.0.2: icmp_seq=115 ttl=64 time=1132 ms
64 bytes from 10.0.0.2: icmp_seq=116 ttl=64 time=1129 ms
64 bytes from 10.0.0.2: icmp_seq=117 ttl=64 time=1086 ms
64 bytes from 10.0.0.2: icmp_seq=118 ttl=64 time=1074 ms
64 bytes from 10.0.0.2: icmp_seq=119 ttl=64 time=1078 ms
64 bytes from 10.0.0.2: icmp_seq=120 ttl=64 time=1039 ms
64 bytes from 10.0.0.2: icmp_seq=121 ttl=64 time=1020 ms
64 bytes from 10.0.0.2: icmp_seq=122 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=123 ttl=64 time=998 ms
64 bytes from 10.0.0.2: icmp_seq=124 ttl=64 time=992 ms
64 bytes from 10.0.0.2: icmp_seq=125 ttl=64 time=1006 ms
64 bytes from 10.0.0.2: icmp_seq=126 ttl=64 time=1026 ms
64 bytes from 10.0.0.2: icmp_seq=128 ttl=64 time=1018 ms
64 bytes from 10.0.0.2: icmp_seq=129 ttl=64 time=982 ms
64 bytes from 10.0.0.2: icmp_seq=130 ttl=64 time=979 ms
64 bytes from 10.0.0.2: icmp_seq=131 ttl=64 time=976 ms
64 bytes from 10.0.0.2: icmp_seq=132 ttl=64 time=981 ms
64 bytes from 10.0.0.2: icmp_seq=133 ttl=64 time=977 ms
